id,publisher,publisher_id
500710,Juvty Worlds Ltd.,1194190262
421050,Daedalic Entertainment,1281122926
312750,Square Enix,-1704654576
464060,Devolver Digital,-1539353560
527270,"KOEI TECMO GAMES CO., LTD.",-482308940
453090,Texel Raptor,-2035821658
435400,Adriaan de Jongh,-519778711
13210,"Epic Games, Inc.",-1376705759
232010,SCS Software,1574209807
2810,Egosoft,690757844
338180,Abyss Lights Studio LLP,-1841374842
454080,David Mulder,585208220
70400,Carpe Fulgur LLC,883966857
235800,Dylan Fitterer,-261482996
7760,2K,-12454423
243950,Larian Studios,-23583149
239840,DoubleBear Productions,-2146027994
308040,Bedtime Digital Games,-1765634126
629690,"Fatbot Games, s. r. o.",-1169690877
322520,"KOEI TECMO GAMES CO., LTD.",-482308940
313780,Iceberg Interactive,-1723470652
522470,Blue Brain Games,-936766213
228300,Capcom,78587240
385730,2K,-12454423
235320,Bohemia Interactive,1799739398
350110,astragon Entertainment,1384550548
507300,2tainment GmbH,1099554535
234710,Telltale Games,1903066101
231060,Gravity Interactive,-1472203761
639790,Neko Climax Studios,1005954708
32500,LucasArts,512719419
32500,Lucasfilm,1203862585
32500,Disney Interactive,-483919086
345240,SEGA,1417143641
317820,Versus Evil,2076468405
312280,BlueLine Games,209222537
311260,THQ Nordic,424105505
504210,Zachtronics,-429104399
682130,Robert Borghese,-1243648136
247020,Vertigo Gaming Inc.,350760775
339340,"CAPCOM Co., Ltd.",-697851561
322920,Expansive Worlds,1611585659
322920,Avalanche Studios,1730712100
287260,Codemasters,-742141607
46500,Microids,-1876952428
384190,505 Games,-1958266213
375950,Ice Water Games,-1082602565
221540,505 Games,-1958266213
324510,Square Enix,-1704654576
385380,Permadeath,-1788691623
57900,2K,-12454423
467000,New Reality Games,-1272302406
448500,Blake Fix,-1047088120
441550,LucasArts,512719419
441550,Lucasfilm,1203862585
441550,Disney Interactive,-483919086
274900,JForce Games,-863523214
423230,The Game Bakers,953517666
256290,Ubisoft,-2080260409
296470,Stegersaurus Software Inc.,-107733145
236150,Iceberg Interactive,-1723470652
2100,Ubisoft,-2080260409
8600,SimBin,888395374
299460,Chubby Pixel,-1384110145
70600,Team17 Digital Ltd,1604141760
417860,Kyle Seeley,-105985911
224480,Young Horses,-1916348413
216890,Focus Home Interactive,-1378653689
39200,Square Enix,-1704654576
216260,Big Ant Studios,1519918981
425220,BANDAI NAMCO Entertainment,-1127678441
292910,Daedalic Entertainment,1281122926
220740,Daedalic Entertainment,1281122926
244730,Iron Galaxy,835258693
215100,Gravity Interactive,-1472203761
362680,Killmonday Games AB,-1451033859
328080,SixtyGig Games,-141761058
370360,Zachtronics,-429104399
